sku,price,special_price
ADV-83139,13.8773,13.8773
ADV-83140,13.6347,13.6347
ADV-83151,18.6613,18.6613
ADV-83180,18.12,18.12
ADV-83283,12.2387,12.2387
ADV-83284,10.452,10.452
ADV-83285,9.8827,9.8827
ADV-85003,3.596,3.596
ADV-85006,3.4747,3.4747
ADV-85008,7.512,7.512
ADV-85012,3.0333,3.0333
ADV-85014,5.94,4.67
ADV-85018,8.2307,8.2307
ADV-85034,3.88,3.88
ADV-85037,3.7467,3.7467
ADV-85039,5.17,4.46
ADV-85054,2.7267,2.7267
ADV-85071,4.9093,4.9093
ADV-85085,2.9333,2.9333
AER-143,6.16,6.16
AER-144,1.3173,1.3173
AER-247,3.8866,3.8866
AER-248,4.352,4.352
AER-251,4.352,4.352
AER-252,4.352,4.352
AER-254,4.352,4.352
AER-255,4.352,4.352
AER-256,4.352,4.352
AER-258,4.352,4.352
AER-259,4.352,4.352
AER-2801,5.0027,5.0027
AER-2806,5.0027,5.0027
AER-2807,5.0027,5.0027
AER-302,4.9613,4.9613
